,Unnamed: 0,V0101,UF,V0102,V0103,V0104,V0105,V0106,V0201,V0202,V0203,V0204,V0205,V0206,V0207,V0208,V0209,V0210,V0211,V0212,V0213,V0214,V0215,V0216,V2016,V0217,V0218,V0219,V0220,V2020,V0221,V0222,V0223,V0224,V0225,V0226,V0227,V2027,V0228,V0229,V0230,V0231,V0232,V2032,V4105,V4106,V4107,V4600,V4601,V4602,V4604,V4605,V4606,V4607,V4608,V4609,V4610,V4611,V4614,UPA,V4617,V4618,V4619,V4620,V4621,V4622,V4623,V4624,V2101,V2102,V2103,V2105,V2107,V2109,V2111,V2113,V2115,V2117,V2119,V2120,V2121,V2123,V2124,V2126,V2128,V2130,V2132,V2134,V2136,V2033,V2034,V2035,V2036,V2037,V2038,V2039,V2041,V9992,Região,Geladeira
2,2,2009,11,15,3,1,7.0,5.0,1.0,2.0,4.0,1.0,7.0,7.0,1.0,,,2.0,1.0,4.0,,,3.0,,,,1.0,1.0,2.0,4.0,1.0,,3.0,Não possui,1.0,2.0,,1.0,4.0,1.0,4.0,3.0,,4.0,1,0,3,26,9,1108,2,0.0881549399,5,0.0373195315,7,1198438,200,256.0,828.0,278,110011,75,1.0,7.0,118.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,Sim,6.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,20120710,Norte,Sim
8,8,2009,11,15,9,1,5.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,999999999999.0,,,1.0,4.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,Não possui,3.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1108,2,0.0881549399,5,0.0373195315,7,1198438,200,256.0,295.0,278,110011,75,1.0,5.0,59.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,Sim,4.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
19,19,2009,11,15,20,1,3.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,5.0,,,,3.0,,3.0,2.0,1.0,4.0,,4.0,1.0,1.0,4.0,4.0,1.0,,1.0,Possui Filtro,3.0,2.0,,3.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1108,2,0.0881549399,5,0.0373195315,7,1198438,200,255.0,335.0,278,110011,75,1.0,3.0,111.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,Sim,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,20120710,Norte,Não
70,70,2009,11,31,22,1,5.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,5.0,,,,1.0,2.0,,,1.0,4.0,,4.0,3.0,1.0,2.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1108,2,0.0881549399,5,0.0849904658,15,1198438,200,256.0,559.0,278,110011,75,1.0,5.0,111.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,Sim,4.0,3.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
151,151,2009,11,74,14,1,3.0,3.0,1.0,2.0,4.0,1.0,4.0,2.0,1.0,,,2.0,1.0,4.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1101,1,1.0,5,0.018151714,18,1198438,200,255.0,1885.0,140,110001,2,1.0,3.0,628.0,4.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,Sim,6.0,1.0,3.0,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
156,156,2009,11,82,2,1,4.0,4.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,,,2.0,1.0,4.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,2.0,1,0,2,26,9,1101,1,1.0,5,0.0069295395,7,1198438,200,256.0,975.0,140,110001,3,1.0,4.0,243.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
210,210,2009,11,112,3,1,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,5.0,,,,1.0,2.0,,,1.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1102,1,1.0,5,0.0182801236,18,1198438,200,255.0,465.0,141,110002,6,1.0,1.0,465.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,3.0,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
254,254,2009,11,139,3,1,3.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,1.0,4.0,3.0,2.0,3.0,,4.0,1,0,2,26,9,1102,1,1.0,5,0.0253604531,25,1198438,200,255.0,1057.0,141,110002,8,1.0,3.0,352.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,Sim,6.0,3.0,3.0,,,,,,,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
290,290,2009,11,147,20,1,4.0,4.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,Possui Filtro,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1102,1,1.0,5,0.0475025747,48,1198438,200,256.0,1222.0,141,110002,9,1.0,4.0,305.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
293,293,2009,11,147,23,1,2.0,2.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,,1.0,Possui Filtro,1.0,2.0,,1.0,4.0,3.0,4.0,1.0,4.0,4.0,1,0,2,26,9,1102,1,1.0,5,0.0475025747,48,1198438,200,255.0,1185.0,141,110002,9,1.0,2.0,592.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,3.0,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
