,Unnamed: 0,V0101,UF,V0102,V0103,V0104,V0105,V0106,V0201,V0202,V0203,V0204,V0205,V0206,V0207,V0208,V0209,V0210,V0211,V0212,V0213,V0214,V0215,V0216,V2016,V0217,V0218,V0219,V0220,V2020,V0221,V0222,V0223,V0224,V0225,V0226,V0227,V2027,V0228,V0229,V0230,V0231,V0232,V2032,V4105,V4106,V4107,V4600,V4601,V4602,V4604,V4605,V4606,V4607,V4608,V4609,V4610,V4611,V4614,UPA,V4617,V4618,V4619,V4620,V4621,V4622,V4623,V4624,V2101,V2102,V2103,V2105,V2107,V2109,V2111,V2113,V2115,V2117,V2119,V2120,V2121,V2123,V2124,V2126,V2128,V2130,V2132,V2134,V2136,V2033,V2034,V2035,V2036,V2037,V2038,V2039,V2041,V9992,Região
19,19,2009,11,15,20,1,3.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,5.0,,,,3.0,,3.0,2.0,1.0,4.0,,4.0,1.0,1.0,4.0,4.0,1.0,,1.0,2.0,3.0,2.0,,3.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1108,2,0.0881549399,5,0.0373195315,7,1198438,200,255.0,335.0,278,110011,75,1.0,3.0,111.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,20120710,Norte
142,142,2009,11,74,5,1,7.0,5.0,1.0,2.0,1.0,1.0,7.0,3.0,3.0,250.0,,,1.0,4.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,4.0,1.0,4.0,2.0,1,0,2,26,9,1101,1,1.0,5,0.018151714,18,1198438,200,256.0,1658.0,140,110001,2,1.0,7.0,236.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
156,156,2009,11,82,2,1,4.0,4.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,,,2.0,1.0,4.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,4.0,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,2.0,1,0,2,26,9,1101,1,1.0,5,0.0069295395,7,1198438,200,256.0,975.0,140,110001,3,1.0,4.0,243.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
257,257,2009,11,139,6,1,5.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,2.0,1.0,2.0,,3.0,2.0,3.0,4.0,3.0,,4.0,1,0,2,26,9,1102,1,1.0,5,0.0253604531,25,1198438,200,256.0,531.0,141,110002,8,1.0,5.0,106.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,,3.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
258,258,2009,11,139,7,1,4.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,2.0,1.0,2.0,,1.0,2.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1102,1,1.0,5,0.0253604531,25,1198438,200,256.0,1440.0,141,110002,8,1.0,4.0,360.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,,3.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
290,290,2009,11,147,20,1,4.0,4.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,2.0,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1102,1,1.0,5,0.0475025747,48,1198438,200,256.0,1222.0,141,110002,9,1.0,4.0,305.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
294,294,2009,11,147,24,1,5.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0,5.0,,,,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,4.0,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,4.0,1,0,2,26,9,1102,1,1.0,5,0.0475025747,48,1198438,200,255.0,180.0,141,110002,9,1.0,5.0,36.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
300,300,2009,11,155,2,1,3.0,2.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,4.0,,4.0,3.0,1.0,2.0,4.0,1.0,,1.0,2.0,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1102,1,1.0,5,0.0137744593,14,1198438,200,256.0,262.0,141,110002,10,1.0,3.0,87.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
337,337,2009,11,171,2,1,8.0,6.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0,1.0,,1.0,4.0,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1106,2,0.0604672387,5,0.1247401247,15,1198438,200,256.0,894.0,274,110009,71,1.0,8.0,111.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
371,371,2009,11,180,17,1,6.0,4.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,3.0,4.0,1.0,4.0,3.0,1.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1106,2,0.0604672387,5,0.1044698545,13,1198438,200,255.0,230.0,274,110009,71,1.0,6.0,38.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte
